Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,120.339996,121.58000200000001,119.629997,119.739998,118.18773700000001,12678200
2020-12-02,119.699997,122.309998,119.269997,122.040001,120.457932,10811300
2020-12-03,121.849998,121.889999,120.360001,121.239998,119.66828899999999,12904400
2020-12-04,122.480003,123.290001,121.690002,122.339996,120.75403600000001,13583700
2020-12-07,121.150002,122.16999799999999,120.209999,121.879997,120.300003,9724300
2020-12-08,121.040001,122.33000200000001,120.760002,122.0,120.418442,9592100
2020-12-09,123.16999799999999,123.300003,120.440002,121.050003,119.48076599999999,13073900
2020-12-10,119.989998,120.779999,119.559998,120.269997,118.71086899999999,13668400
2020-12-11,118.940002,120.019997,118.370003,119.559998,118.010071,9981600
2020-12-14,121.339996,121.41999799999999,118.110001,118.300003,116.766411,12112400
2020-12-15,119.290001,120.900002,118.620003,120.32,118.760223,12591400
2020-12-16,120.300003,121.08000200000001,119.860001,120.66999799999999,119.10569,11169400
2020-12-17,121.260002,121.449997,119.58000200000001,119.66999799999999,118.118652,11618000
2020-12-18,119.139999,119.879997,118.269997,119.08000200000001,117.536301,28954800
2020-12-21,123.16999799999999,125.0,121.089996,123.550003,121.948357,28323600
2020-12-22,123.389999,123.519997,121.610001,121.66999799999999,120.09272,11788200
2020-12-23,122.779999,126.519997,122.349998,125.07,123.448647,14973200
2020-12-24,125.089996,125.550003,123.57,124.519997,122.90576899999999,4164900
2020-12-28,125.82,126.650002,124.790001,125.339996,123.71514099999999,8072600
2020-12-29,126.199997,126.279999,124.889999,125.010002,123.389427,8389200
2020-12-30,125.489998,125.849998,124.900002,125.360001,123.73488600000002,7398000
